,recency,frequency,monetary,RecenciaCluster,FrequenciaCluster,monetaryCluster,Score,Seguimento
0,213,1,125.7,0,0,0,0,Inativo
1,207,1,138.0,0,0,0,0,Inativo
2,207,1,187.65,0,0,0,0,Inativo
3,207,1,202.8,0,0,0,0,Inativo
4,190,1,110.58,0,0,0,0,Inativo
5,190,1,54.9,0,0,0,0,Inativo
6,190,1,219.8,0,0,0,0,Inativo
7,190,1,117.7,0,0,0,0,Inativo
8,190,1,109.8,0,0,0,0,Inativo
9,190,1,54.9,0,0,0,0,Inativo
10,190,1,119.9,0,0,0,0,Inativo
11,190,1,290.0,0,0,0,0,Inativo
12,190,1,276.5,0,0,0,0,Inativo
13,190,1,220.7,0,0,0,0,Inativo
14,190,1,199.8,0,0,0,0,Inativo
15,190,1,69.9,0,0,0,0,Inativo
16,190,1,86.37,0,0,0,0,Inativo
17,190,1,172.9,0,0,0,0,Inativo
18,190,1,139.0,0,0,0,0,Inativo
19,190,1,220.7,0,0,0,0,Inativo
20,190,1,149.0,0,0,0,0,Inativo
21,190,1,169.8,0,0,0,0,Inativo
22,190,1,145.8,0,0,0,0,Inativo
23,190,1,199.8,0,0,0,0,Inativo
24,190,1,154.8,0,0,0,0,Inativo
25,190,1,164.7,0,0,0,0,Inativo
26,190,1,133.2,0,0,0,0,Inativo
27,190,1,35.1,0,0,0,0,Inativo
28,190,1,49.41,0,0,0,0,Inativo
29,207,1,74.1,0,0,0,0,Inativo
30,190,1,86.9,0,0,0,0,Inativo
31,190,1,200.9,0,0,0,0,Inativo
32,190,1,214.6,0,0,0,0,Inativo
33,190,1,76.9,0,0,0,0,Inativo
34,190,1,78.3,0,0,0,0,Inativo
35,190,1,219.6,0,0,0,0,Inativo
36,190,1,258.8,0,0,0,0,Inativo
37,189,1,229.6,0,0,0,0,Inativo
38,189,1,184.7,0,0,0,0,Inativo
39,189,1,229.8,0,0,0,0,Inativo
40,191,1,142.9,0,0,0,0,Inativo
41,191,1,188.9,0,0,0,0,Inativo
42,191,1,197.8,0,0,0,0,Inativo
43,191,1,301.6,0,0,0,0,Inativo
44,191,1,69.9,0,0,0,0,Inativo
45,191,1,109.9,0,0,0,0,Inativo
46,191,1,201.4,0,0,0,0,Inativo
47,191,1,249.7,0,0,0,0,Inativo
48,191,1,291.4,0,0,0,0,Inativo
49,191,1,119.9,0,0,0,0,Inativo
50,191,1,189.7,0,0,0,0,Inativo
51,190,1,251.4,0,0,0,0,Inativo
52,190,1,183.7,0,0,0,0,Inativo
53,190,1,109.8,0,0,0,0,Inativo
54,190,1,175.8,0,0,0,0,Inativo
55,190,1,54.9,0,0,0,0,Inativo
56,190,1,299.0,0,0,0,0,Inativo
57,190,1,109.9,0,0,0,0,Inativo
